"","x","y"
"1",351,0
"2",406,0
"3",368,0
"4",443,0
"5",415,0
"6",445,0
"7",406,0
"8",386,0
"9",412,0
"10",378,0
"11",427,0
"12",366,0
"13",351,0
"14",447,0
"15",354,0
"16",377,0
"17",383,0
"18",380,0
"19",394,0
"20",367,0
"21",372,0
"22",390,1
"23",398,0
"24",350,1
"25",371,1
"26",390,0
"27",390,0
"28",356,0
"29",443,0
"30",388,0
"31",395,0
"32",409,0
"33",375,0
"34",446,0
"35",402,0
"36",427,0
"37",428,0
"38",397,0
"39",401,0
"40",370,0
"41",353,1
"42",367,1
"43",448,0
"44",384,1
"45",436,0
"46",362,0
"47",351,1
"48",402,0
"49",447,0
"50",437,0
"51",419,0
"52",370,0
"53",437,0
"54",411,0
"55",445,0
"56",381,0
"57",418,1
"58",365,0
"59",363,0
"60",398,1
"61",376,0
"62",376,0
"63",386,0
"64",430,0
"65",401,0
"66",359,1
"67",368,0
"68",377,0
"69",408,0
"70",422,0
"71",357,0
"72",448,0
"73",409,0
"74",377,0
"75",368,0
"76",447,0
"77",383,0
"78",380,0
"79",400,0
"80",447,0
"81",403,0
"82",392,0
"83",359,0
"84",413,1
"85",407,0
"86",356,1
"87",386,0
"88",357,0
"89",356,0
"90",444,0
"91",445,0
"92",432,0
"93",445,0
"94",439,0
"95",392,0
"96",392,0
"97",384,0
"98",403,0
"99",406,0
"100",430,1
"101",377,0
"102",403,0
"103",444,0
"104",423,0
"105",411,0
"106",416,1
"107",404,1
"108",404,0
"109",447,0
"110",407,0
"111",398,0
"112",414,0
"113",412,1
"114",406,0
"115",425,0
"116",378,0
"117",433,0
"118",427,0
"119",360,0
"120",382,0
"121",398,0
"122",357,0
"123",432,1
"124",381,0
"125",379,0
"126",426,0
"127",390,1
"128",370,0
"129",379,1
"130",351,0
"131",395,1
"132",409,0
"133",423,0
"134",420,0
"135",368,1
"136",415,1
"137",391,0
"138",436,0
"139",450,0
"140",406,1
"141",425,0
"142",442,0
"143",396,0
"144",364,0
"145",374,0
"146",428,0
"147",365,0
"148",442,0
"149",430,0
"150",383,0
"151",436,0
"152",399,0
"153",359,0
"154",420,0
"155",427,0
"156",355,0
"157",417,0
"158",441,0
"159",432,0
"160",440,0
"161",393,0
"162",363,0
"163",398,0
"164",437,0
"165",390,0
"166",350,0
"167",405,0
"168",378,1
"169",370,0
"170",428,0
"171",406,1
"172",358,0
"173",352,0
"174",354,0
"175",403,0
"176",352,0
"177",350,0
"178",450,0
"179",351,1
"180",371,1
"181",388,0
"182",414,0
"183",394,1
"184",444,1
"185",354,0
"186",443,0
"187",398,0
"188",438,0
"189",368,0
"190",402,0
"191",397,0
"192",446,0
"193",432,0
"194",356,0
"195",394,0
"196",380,0
"197",400,1
"198",408,0
"199",413,0
"200",379,0
"201",503,0
"202",537,0
"203",481,0
"204",486,0
"205",472,0
"206",454,0
"207",513,0
"208",511,1
"209",507,0
"210",549,0
"211",537,0
"212",500,0
"213",480,0
"214",536,0
"215",522,0
"216",478,0
"217",451,0
"218",483,0
"219",465,1
"220",530,0
"221",521,0
"222",505,0
"223",508,0
"224",537,1
"225",478,0
"226",541,0
"227",457,0
"228",522,1
"229",496,0
"230",544,0
"231",529,0
"232",509,0
"233",539,0
"234",493,0
"235",495,1
"236",511,0
"237",528,0
"238",505,0
"239",505,0
"240",515,0
"241",463,0
"242",508,0
"243",511,0
"244",470,0
"245",453,0
"246",492,0
"247",471,0
"248",497,0
"249",517,0
"250",538,0
"251",497,0
"252",533,0
"253",474,0
"254",522,0
"255",512,0
"256",507,0
"257",527,0
"258",541,0
"259",451,0
"260",544,0
"261",457,0
"262",495,1
"263",528,0
"264",459,0
"265",453,0
"266",476,0
"267",464,0
"268",484,0
"269",454,0
"270",540,0
"271",450,0
"272",462,0
"273",539,0
"274",506,0
"275",497,1
"276",464,0
"277",487,0
"278",471,1
"279",484,0
"280",500,0
"281",485,0
"282",524,0
"283",480,0
"284",505,0
"285",453,0
"286",462,0
"287",533,0
"288",533,0
"289",511,0
"290",543,0
"291",517,0
"292",472,0
"293",452,0
"294",491,0
"295",520,0
"296",465,0
"297",549,0
"298",481,0
"299",480,0
"300",544,0
"301",457,0
"302",468,0
"303",538,0
"304",522,0
"305",482,0
"306",451,0
"307",511,0
"308",498,0
"309",518,0
"310",528,0
"311",540,0
"312",473,1
"313",550,0
"314",511,0
"315",523,0
"316",518,1
"317",466,0
"318",487,0
"319",545,0
"320",529,0
"321",538,0
"322",455,0
"323",501,1
"324",547,0
"325",526,0
"326",467,0
"327",498,0
"328",463,0
"329",476,0
"330",482,0
"331",473,0
"332",531,1
"333",530,1
"334",457,0
"335",545,0
"336",502,0
"337",493,0
"338",472,0
"339",532,0
"340",475,0
"341",458,0
"342",543,0
"343",526,1
"344",493,0
"345",466,0
"346",453,0
"347",499,0
"348",527,0
"349",517,0
"350",491,0
"351",500,0
"352",509,0
"353",512,1
"354",494,0
"355",477,1
"356",539,0
"357",540,1
"358",538,0
"359",541,0
"360",506,0
"361",484,0
"362",488,0
"363",479,0
"364",532,0
"365",485,0
"366",463,1
"367",482,1
"368",521,0
"369",487,0
"370",485,0
"371",537,0
"372",514,0
"373",503,0
"374",546,0
"375",476,0
"376",457,0
"377",466,0
"378",477,0
"379",471,0
"380",467,0
"381",542,0
"382",496,0
"383",523,0
"384",543,0
"385",546,0
"386",485,0
"387",476,0
"388",458,1
"389",500,0
"390",544,0
"391",519,0
"392",490,0
"393",486,0
"394",545,0
"395",515,0
"396",474,0
"397",480,0
"398",484,0
"399",495,0
"400",515,0
"401",606,0
"402",621,0
"403",596,0
"404",572,0
"405",583,0
"406",591,0
"407",644,0
"408",621,0
"409",619,0
"410",606,0
"411",622,0
"412",586,0
"413",623,0
"414",630,1
"415",576,0
"416",561,0
"417",599,0
"418",576,0
"419",621,0
"420",574,0
"421",585,0
"422",640,0
"423",641,0
"424",579,0
"425",638,0
"426",591,0
"427",610,0
"428",620,0
"429",610,0
"430",603,0
"431",569,0
"432",578,0
"433",593,0
"434",563,0
"435",637,0
"436",620,0
"437",646,0
"438",558,0
"439",624,0
"440",650,0
"441",625,0
"442",597,1
"443",639,0
"444",624,0
"445",612,0
"446",635,0
"447",556,0
"448",592,0
"449",619,0
"450",578,0
"451",577,0
"452",569,0
"453",632,0
"454",573,1
"455",623,0
"456",639,0
"457",634,0
"458",602,0
"459",599,0
"460",588,0
"461",638,0
"462",621,0
"463",604,0
"464",623,0
"465",623,1
"466",571,0
"467",622,0
"468",585,0
"469",635,0
"470",601,0
"471",588,0
"472",637,0
"473",566,0
"474",596,0
"475",614,0
"476",608,0
"477",564,0
"478",633,0
"479",602,0
"480",589,0
"481",603,0
"482",591,0
"483",608,0
"484",554,0
"485",650,0
"486",619,0
"487",604,0
"488",644,0
"489",583,0
"490",576,0
"491",604,0
"492",561,0
"493",592,0
"494",641,0
"495",578,0
"496",647,0
"497",602,0
"498",606,0
"499",631,0
"500",642,0
"501",605,0
"502",634,0
"503",650,0
"504",617,0
"505",610,0
"506",625,0
"507",603,0
"508",616,0
"509",551,0
"510",566,0
"511",635,0
"512",600,0
"513",578,0
"514",554,0
"515",592,0
"516",588,0
"517",642,0
"518",603,0
"519",562,0
"520",553,0
"521",583,0
"522",631,0
"523",614,0
"524",629,0
"525",607,0
"526",637,0
"527",607,0
"528",550,0
"529",589,0
"530",556,0
"531",593,0
"532",563,0
"533",575,0
"534",633,0
"535",595,0
"536",566,0
"537",581,0
"538",605,0
"539",587,0
"540",555,0
"541",597,0
"542",571,0
"543",645,0
"544",615,0
"545",556,0
"546",587,0
"547",634,0
"548",644,0
"549",577,0
"550",650,0
"551",586,0
"552",622,0
"553",644,1
"554",645,0
"555",570,0
"556",575,0
"557",630,0
"558",568,0
"559",616,0
"560",583,0
"561",586,0
"562",589,0
"563",633,0
"564",635,0
"565",552,0
"566",630,0
"567",604,0
"568",563,0
"569",603,0
"570",585,0
"571",630,0
"572",585,0
"573",621,0
"574",578,0
"575",626,0
"576",561,0
"577",569,0
"578",593,0
"579",609,0
"580",603,0
"581",619,0
"582",584,0
"583",645,0
"584",602,0
"585",586,0
"586",605,0
"587",610,0
"588",599,0
"589",576,1
"590",555,0
"591",600,0
"592",627,0
"593",591,0
"594",613,0
"595",647,0
"596",618,0
"597",607,0
"598",553,0
"599",593,0
"600",640,0
"601",682,0
"602",675,0
"603",685,0
"604",748,0
"605",731,0
"606",695,0
"607",680,0
"608",662,1
"609",684,0
"610",710,0
"611",679,0
"612",747,0
"613",696,1
"614",662,0
"615",683,0
"616",741,0
"617",741,0
"618",695,0
"619",667,0
"620",707,0
"621",665,0
"622",737,0
"623",736,0
"624",722,0
"625",693,0
"626",665,0
"627",709,0
"628",726,0
"629",748,0
"630",726,0
"631",683,0
"632",679,0
"633",663,0
"634",711,0
"635",733,0
"636",710,0
"637",654,0
"638",742,0
"639",698,0
"640",668,0
"641",710,0
"642",739,0
"643",744,0
"644",690,0
"645",652,0
"646",739,0
"647",688,0
"648",743,0
"649",696,0
"650",677,0
"651",678,0
"652",692,0
"653",654,0
"654",667,0
"655",715,0
"656",676,0
"657",673,0
"658",709,0
"659",732,0
"660",668,0
"661",666,0
"662",667,0
"663",686,0
"664",723,0
"665",676,0
"666",737,0
"667",747,0
"668",739,0
"669",651,0
"670",730,0
"671",669,0
"672",674,0
"673",747,0
"674",688,0
"675",664,0
"676",713,0
"677",683,0
"678",729,0
"679",716,0
"680",738,0
"681",715,0
"682",709,0
"683",733,0
"684",750,0
"685",720,0
"686",728,0
"687",735,0
"688",718,1
"689",660,0
"690",684,0
"691",684,0
"692",709,0
"693",661,0
"694",676,0
"695",689,0
"696",705,0
"697",668,0
"698",663,0
"699",652,0
"700",740,0
"701",736,0
"702",718,0
"703",725,0
"704",701,1
"705",687,0
"706",712,0
"707",672,0
"708",686,0
"709",672,0
"710",740,0
"711",740,0
"712",692,0
"713",656,0
"714",661,0
"715",677,0
"716",680,0
"717",651,0
"718",673,0
"719",737,0
"720",731,0
"721",674,0
"722",708,0
"723",714,0
"724",748,0
"725",673,0
"726",653,0
"727",702,0
"728",748,0
"729",738,0
"730",685,0
"731",668,0
"732",748,0
"733",731,0
"734",716,0
"735",685,0
"736",660,0
"737",749,0
"738",678,0
"739",677,0
"740",735,0
"741",736,0
"742",707,0
"743",700,0
"744",704,0
"745",657,0
"746",680,0
"747",744,0
"748",657,0
"749",714,0
"750",689,0
"751",655,0
"752",656,0
"753",739,0
"754",710,0
"755",658,0
"756",684,0
"757",698,0
"758",681,0
"759",743,0
"760",750,0
"761",746,0
"762",675,0
"763",673,0
"764",743,0
"765",682,0
"766",734,0
"767",737,0
"768",713,0
"769",656,0
"770",744,0
"771",707,0
"772",712,0
"773",731,0
"774",661,0
"775",723,0
"776",701,0
"777",723,0
"778",657,0
"779",701,0
"780",720,0
"781",741,0
"782",735,0
"783",712,0
"784",664,0
"785",673,0
"786",708,0
"787",725,0
"788",673,0
"789",666,0
"790",730,0
"791",713,0
"792",697,0
"793",702,0
"794",719,0
"795",713,0
"796",741,0
"797",691,0
"798",709,0
"799",724,0
"800",737,0
"801",772,0
"802",838,0
"803",814,0
"804",822,0
"805",755,0
"806",807,1
"807",798,0
"808",821,0
"809",792,0
"810",754,0
"811",803,0
"812",803,0
"813",801,0
"814",775,0
"815",760,0
"816",807,0
"817",814,0
"818",757,0
"819",790,1
"820",792,0
"821",792,0
"822",784,0
"823",750,0
"824",767,0
"825",803,0
"826",831,0
"827",820,0
"828",794,0
"829",773,0
"830",839,0
"831",770,0
"832",782,0
"833",763,0
"834",835,0
"835",804,0
"836",794,0
"837",756,0
"838",841,0
"839",819,0
"840",797,0
"841",779,0
"842",842,0
"843",833,0
"844",841,0
"845",844,0
"846",823,0
"847",818,0
"848",762,1
"849",786,0
"850",832,0
"851",783,0
"852",771,0
"853",840,0
"854",833,0
"855",790,0
"856",780,0
"857",844,0
"858",797,0
"859",787,0
"860",797,0
"861",755,0
"862",769,0
"863",785,0
"864",808,0
"865",770,0
"866",798,0
"867",795,0
"868",803,0
"869",772,0
"870",771,0
"871",811,0
"872",839,0
"873",789,0
"874",809,0
"875",753,0
"876",820,0
"877",774,0
"878",800,0
"879",821,0
"880",780,0
"881",794,0
"882",813,0
"883",760,0
"884",799,0
"885",774,0
"886",795,0
"887",755,0
"888",830,0
"889",755,0
"890",753,0
"891",839,1
"892",833,0
"893",828,0
"894",841,0
"895",792,0
"896",777,0
"897",788,0
"898",755,0
"899",795,0
"900",789,0
"901",773,0
"902",816,0
"903",849,0
"904",832,0
"905",822,0
"906",792,0
"907",843,0
"908",842,0
"909",825,0
"910",761,0
"911",755,0
"912",800,1
"913",843,0
"914",786,0
"915",803,0
"916",761,0
"917",800,0
"918",842,0
"919",842,0
"920",848,0
"921",789,0
"922",754,0
"923",790,0
"924",770,0
"925",793,0
"926",813,0
"927",757,0
"928",818,0
"929",809,0
"930",765,0
"931",836,0
"932",792,0
"933",825,0
"934",763,0
"935",803,0
"936",769,0
"937",800,0
"938",822,0
"939",849,0
"940",794,0
"941",764,0
"942",830,0
"943",757,0
"944",752,0
"945",750,0
"946",773,1
"947",786,0
"948",774,0
"949",756,0
"950",832,0
"951",759,0
"952",827,0
"953",789,0
"954",824,0
"955",849,0
"956",758,0
"957",847,0
"958",836,0
"959",817,0
"960",829,0
"961",778,0
"962",847,0
"963",770,0
"964",795,0
"965",819,0
"966",753,0
"967",822,0
"968",821,0
"969",820,0
"970",773,0
"971",757,0
"972",789,0
"973",814,0
"974",769,0
"975",767,0
"976",822,0
"977",825,0
"978",843,0
"979",832,0
"980",771,0
"981",835,0
"982",755,0
"983",779,0
"984",833,0
"985",807,0
"986",795,0
"987",766,0
"988",798,0
"989",753,0
"990",799,0
"991",785,0
"992",783,0
"993",805,0
"994",840,0
"995",754,0
"996",827,0
"997",775,0
"998",781,0
"999",802,0
"1000",837,0
