"Score","Default"
373,0
435,0
430,0
365,0
362,1
373,0
444,0
396,1
407,0
447,0
395,1
350,0
362,0
367,0
392,1
445,0
441,0
441,0
405,0
397,1
432,0
392,0
395,0
407,0
409,0
426,1
419,0
392,0
359,0
375,1
409,0
433,1
443,0
350,0
437,0
439,1
397,1
378,1
392,0
443,0
449,0
366,1
413,1
428,0
379,0
428,0
430,0
406,0
447,0
391,1
351,0
439,0
360,0
445,0
359,0
378,1
430,0
396,1
408,0
358,0
394,1
433,0
400,0
363,0
378,0
420,0
447,0
421,0
430,0
355,0
420,0
426,0
391,0
402,0
416,1
352,0
377,1
392,0
356,0
351,1
385,1
407,1
410,0
401,0
400,0
368,0
435,0
402,0
366,0
364,1
404,0
433,0
449,1
398,0
406,0
449,0
411,1
379,0
383,0
405,0
418,0
353,0
409,0
355,0
392,0
409,0
384,0
355,0
409,0
438,0
405,0
426,0
437,0
436,0
432,0
431,0
376,1
417,0
410,0
364,0
445,0
363,1
435,0
403,1
424,1
355,1
388,0
368,0
437,0
416,0
397,0
375,0
404,0
392,0
435,0
390,0
351,0
363,0
358,0
376,0
393,0
437,0
435,0
435,0
395,0
450,0
365,0
431,0
403,0
420,0
417,0
355,0
382,1
421,1
416,0
354,0
401,0
396,0
383,0
419,0
372,0
416,0
412,0
357,0
360,0
438,0
392,0
407,0
413,0
388,0
442,0
450,1
443,0
417,0
378,0
389,0
418,0
357,0
428,0
423,0
353,0
372,1
423,0
439,0
449,0
352,0
395,1
410,0
368,0
437,0
415,1
430,0
352,0
439,0
371,0
409,1
367,0
421,0
428,0
357,0
533,0
535,0
547,0
538,0
486,1
522,0
541,0
510,0
501,0
509,1
484,0
539,0
502,0
513,0
549,0
494,0
529,0
482,0
491,0
479,0
528,0
473,0
518,0
466,0
544,0
451,0
467,0
521,0
502,0
542,0
535,0
511,0
504,0
496,0
497,0
501,0
508,0
500,0
454,1
546,0
463,0
455,0
523,1
535,0
544,0
469,0
505,0
488,0
467,0
483,0
495,0
463,1
498,0
501,0
524,0
473,1
453,0
508,0
506,0
455,1
450,0
539,0
463,0
471,0
522,1
521,0
513,0
470,0
530,1
541,0
484,0
517,0
478,0
526,1
503,1
497,1
504,0
496,0
534,0
491,0
460,0
462,0
547,0
536,0
488,0
522,0
450,0
523,0
476,0
518,1
464,0
486,0
527,0
458,0
459,0
464,1
528,0
549,0
538,0
534,0
499,0
550,0
527,0
534,0
452,0
464,0
515,0
477,0
548,0
530,0
500,0
507,0
488,0
515,0
510,0
537,0
543,0
500,0
453,0
481,0
461,0
461,0
515,0
510,0
469,0
525,0
540,0
529,0
528,0
459,0
490,0
488,0
536,0
540,0
507,0
517,0
517,0
505,0
504,0
459,0
541,0
479,0
478,0
484,0
530,0
510,0
525,0
473,0
482,0
464,0
512,0
457,0
494,0
455,0
502,0
477,0
521,0
524,0
493,0
477,0
470,0
465,0
515,1
497,0
502,0
496,0
542,0
524,0
550,0
518,0
506,1
500,0
483,0
491,0
520,0
451,0
482,0
452,0
451,1
508,0
496,0
497,0
516,0
482,0
459,0
533,0
536,0
483,0
453,1
542,0
494,0
481,1
486,0
536,0
459,0
502,0
547,0
465,0
529,0
475,1
593,0
551,0
577,0
584,0
626,0
631,0
552,0
643,0
579,0
632,0
580,1
610,0
629,0
558,0
601,0
592,0
618,0
584,0
596,1
553,0
624,0
588,0
555,0
571,0
573,0
611,0
609,0
615,0
617,0
585,0
590,0
600,0
618,0
603,0
613,0
575,0
622,0
602,0
575,0
582,0
603,0
587,1
604,0
572,0
640,0
619,0
635,0
583,0
579,0
559,0
614,0
624,0
595,0
551,0
584,0
609,0
555,0
590,0
560,0
650,0
557,0
624,0
626,0
578,0
576,0
632,0
564,0
612,0
577,0
639,0
598,0
629,0
603,0
608,0
557,0
601,0
588,0
626,0
581,0
602,0
607,0
560,0
623,0
588,0
599,0
571,0
629,0
623,0
600,0
605,0
580,0
610,1
583,0
576,0
589,0
630,0
595,0
628,0
612,0
647,0
634,0
624,0
581,0
639,0
590,0
643,0
639,0
627,0
604,0
632,0
608,0
638,0
581,0
556,0
597,0
615,0
595,0
579,1
558,0
615,0
581,1
590,0
619,0
621,1
611,0
597,0
620,0
551,0
604,0
604,0
637,1
596,0
627,0
596,0
568,0
594,0
557,0
587,0
569,0
639,0
561,0
592,0
550,1
596,0
642,0
561,1
644,0
566,0
632,0
604,0
615,0
608,1
584,0
649,0
551,0
577,0
555,1
646,0
553,0
572,0
618,0
635,0
630,0
563,0
616,0
570,0
580,0
595,0
600,0
635,0
581,0
599,0
647,0
624,0
634,0
574,0
640,0
638,0
551,0
644,0
629,0
569,0
619,0
640,0
647,0
556,0
555,0
596,0
643,0
648,0
616,0
620,0
649,0
607,1
577,0
630,1
650,0
578,0
643,0
643,0
660,0
747,0
660,0
745,0
738,0
677,0
666,0
723,0
710,0
690,0
670,0
663,0
685,0
691,0
741,0
712,0
723,0
730,0
731,0
733,0
660,0
685,0
747,0
706,1
724,0
656,0
677,0
750,0
712,0
675,0
661,0
692,0
663,0
686,0
703,0
729,0
737,0
705,0
679,1
659,1
750,0
740,0
674,0
663,0
747,0
697,0
735,0
662,0
661,0
733,0
689,0
713,0
700,0
693,0
667,0
658,0
700,0
720,0
703,0
692,0
721,0
748,0
666,0
665,0
741,0
722,0
691,0
675,0
718,0
732,0
735,0
718,0
698,0
709,0
730,0
651,0
667,0
704,0
678,0
653,1
674,0
714,0
664,0
737,0
660,0
721,0
703,0
732,0
707,0
714,1
716,0
650,0
703,0
712,0
694,0
739,0
653,0
658,0
670,0
681,0
737,0
657,0
707,0
737,0
655,0
705,1
684,0
681,0
685,0
736,0
682,0
668,0
690,0
668,0
654,0
651,0
675,0
658,0
728,0
666,0
673,0
694,0
715,0
738,0
655,0
692,0
709,0
689,0
732,0
733,0
714,0
681,0
694,0
703,0
657,0
678,0
652,0
657,0
743,0
659,1
681,0
654,0
731,0
691,0
689,0
711,0
663,0
728,0
686,0
651,0
743,0
714,0
653,0
667,0
739,0
736,0
713,0
694,0
690,0
731,0
718,0
694,0
653,0
712,0
729,0
686,0
650,0
701,0
745,0
705,0
719,0
709,0
717,0
664,0
721,0
651,0
715,0
651,0
682,0
703,0
702,0
688,0
720,0
698,0
724,0
680,0
726,0
739,0
735,0
728,0
698,0
705,0
729,0
707,0
737,0
724,0
724,0
716,0
665,0
652,0
805,0
770,0
796,0
846,0
760,0
759,0
809,0
838,1
784,0
848,0
801,0
816,0
777,0
808,0
826,0
818,0
829,0
778,0
781,0
844,0
769,0
787,0
816,0
785,1
812,0
795,0
849,0
774,0
768,0
818,0
844,0
790,0
822,0
795,0
759,0
837,0
784,0
828,0
793,0
848,0
837,0
845,0
779,0
842,0
769,0
836,0
810,0
762,0
808,0
847,0
753,0
793,0
802,0
773,0
787,0
774,0
848,0
808,0
755,0
812,0
766,0
800,0
832,0
847,0
788,0
752,0
843,0
823,0
819,0
827,0
850,0
799,1
827,0
805,0
761,0
847,0
804,0
823,0
824,0
760,0
754,0
760,0
762,0
804,0
753,0
772,0
826,0
783,0
788,0
825,0
777,0
777,0
803,0
787,0
764,0
758,0
767,0
819,0
798,0
770,0
784,0
809,0
803,0
828,0
794,0
847,0
806,0
811,0
778,0
813,0
815,0
827,0
816,0
781,0
828,0
768,0
834,0
773,0
828,0
810,0
783,0
821,0
788,0
830,0
813,0
834,0
786,0
780,0
812,0
850,0
824,0
792,0
813,0
792,0
765,1
753,0
763,0
761,0
849,0
811,0
813,0
833,0
752,0
797,0
754,0
788,0
812,0
763,0
794,0
802,0
775,0
801,0
845,0
833,0
775,0
791,0
766,0
803,0
805,0
789,0
782,0
760,0
785,0
777,0
822,0
772,0
839,0
750,0
845,1
760,0
819,0
821,0
815,0
814,0
809,0
773,0
775,0
